opis_id,latitude,longitude,source
9,44.0188755,-90.5025615,https://www.openstreetmap.org/way/1204194481; exact chain/store ref
20,32.9303272,-112.6733351,https://www.openstreetmap.org/node/12099611220; unique chain/city/state match; approximate identity
46,32.4058429,-85.955894,https://www.openstreetmap.org/node/12323045415; unique chain/city/state match; approximate identity
147,40.1135842,-85.5725489,https://www.openstreetmap.org/node/6298353994; exact chain/store ref
203,41.5673052,-87.4729946,https://www.openstreetmap.org/way/1309484266; unique chain/city/state match; approximate identity
289,39.0201728,-95.1348422,https://www.openstreetmap.org/way/279277299; unique chain/city/state match; approximate identity
326,41.4239728,-112.0516797,https://www.openstreetmap.org/way/160558018; unique chain/city/state match; approximate identity
578,45.5438874,-122.3923693,https://www.openstreetmap.org/way/225048018; unique chain/city/state match; approximate identity
815,43.0085692,-89.9011407,https://www.openstreetmap.org/node/9747494106; unique chain/city/state match; approximate identity
855,42.3074031,-87.8770185,https://www.openstreetmap.org/way/1026882841; exact chain/store ref
912,33.2796153,-87.0925118,https://www.openstreetmap.org/node/5576342822; unique chain/city/state match; approximate identity
936,35.112701,-92.4322861,https://www.openstreetmap.org/way/725193551; unique chain/city/state match; approximate identity
977,33.6614183,-114.2364213,https://www.openstreetmap.org/way/264996161; unique chain/city/state match; approximate identity
1136,40.1236408,-87.7786133,https://www.openstreetmap.org/way/416108175; unique chain/city/state match; approximate identity
1149,39.8215377,-85.9161359,https://www.openstreetmap.org/node/9596357483; exact chain/store ref
1151,39.8428137,-85.5587972,https://www.openstreetmap.org/node/2377566404; exact chain/store ref
1204,39.1200664,-88.5725976,https://www.openstreetmap.org/way/219668189; unique chain/city/state match; approximate identity
1304,36.0680832,-79.3132562,https://www.openstreetmap.org/way/905877390; unique chain/city/state match; approximate identity
1326,35.7065484,-77.9130368,https://www.openstreetmap.org/node/9389703587; exact chain/store ref
1445,41.1365662,-104.7063786,https://www.openstreetmap.org/node/1002844680; unique chain/city/state match; approximate identity
1634,42.8714846,-87.9444165,https://www.openstreetmap.org/node/635243078; unique chain/city/state match; approximate identity
1647,41.6284491,-87.5085617,https://www.openstreetmap.org/way/1037268333; exact chain/store ref
1958,36.9360548,-80.9942171,https://www.openstreetmap.org/node/6224489921; exact chain/store ref
2088,38.7884999,-112.0820416,https://www.openstreetmap.org/way/235915876; unique chain/city/state match; approximate identity
2227,41.6803092,-88.2051154,https://www.openstreetmap.org/way/658317378; exact chain/store ref
2765,38.0956985,-102.6202547,https://www.openstreetmap.org/way/224603809; unique chain/city/state match; approximate identity
2851,32.6731671,-114.4446097,https://www.openstreetmap.org/node/4701809405; exact chain/store ref
2910,46.8332406,-96.8446951,https://www.openstreetmap.org/way/225056624; exact chain/store ref
2923,37.9375975,-77.4663068,https://www.openstreetmap.org/way/781067019; exact chain/store ref
2956,35.270406,-80.8378399,https://www.openstreetmap.org/node/5612026462; unique chain/city/state match; approximate identity
3086,37.4505044,-79.1212506,https://www.openstreetmap.org/node/6310285968; exact chain/store ref
3536,35.1920199,-101.7430426,https://www.openstreetmap.org/way/220362825; unique chain/city/state match; approximate identity
3614,41.7360311,-86.3364949,https://www.openstreetmap.org/relation/16179242; exact chain/store ref
3688,42.6747934,-82.8151573,https://www.openstreetmap.org/node/8453618986; unique chain/city/state match; approximate identity
3964,42.22421,-85.7861592,https://www.openstreetmap.org/way/901712603; unique chain/city/state match; approximate identity
3974,35.4227478,-99.3722968,https://www.openstreetmap.org/node/11711407863; unique chain/city/state match; approximate identity
